experiment,evaluation_type,metric,step,episodes,seed,value,source
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,12700,,1,0.01521537,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,12800,,1,0.01381161,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,12900,,1,0.01477592,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,13000,,1,0.01456410,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,13100,,1,0.01533475,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,13200,,1,0.01570059,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,13300,,1,0.01629452,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,13400,,1,0.01526563,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,13500,,1,0.01523211,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,13600,,1,0.01551815,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,13700,,1,0.01439450,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,13800,,1,0.01463028,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,13900,,1,0.01481289,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,14000,,1,0.01549564,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,14100,,1,0.01475195,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
